Unnamed: 0,ticker,Name,per,pbr,dividend_yield,Code,ISU_CD,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
901,195870,해성디에스,7.45,0.94,3.01,195870,KR7195870001,KOSPI,,30400,1,450,1.5,30700,30800,30200,62529,1905770700,516800000000,17000000,STK
902,101530,해태제과식품,6.86,0.61,3.19,101530,KR7101530004,KOSPI,,6300,2,-250,-3.82,6530,6550,6280,82456,523898420,183435978600,29116822,STK
903,143210,핸즈코퍼레이션,,0.18,,143210,KR7143210003,KOSPI,,2050,1,25,1.23,2040,2095,2010,40434,82734500,44845281350,21875747,STK
904,000720,현대건설,6.31,0.43,1.91,000720,KR7000720003,KOSPI,,30750,2,-50,-0.16,31100,31150,30750,364201,11233992250,3424189773750,111355765,STK
905,000725,현대건설우,9.47,0.64,1.38,000725,KR7000721001,KOSPI,,46900,2,-100,-0.21,47000,47000,46900,532,24970700,49465101700,1054693,STK
906,453340,현대그린푸드,7.61,0.65,2.64,453340,KR7453340002,KOSPI,,12340,2,-40,-0.32,12380,12450,12320,37000,458177000,418090478760,33880914,STK
907,086280,현대글로비스,7.3,1.0,2.99,086280,KR7086280005,KOSPI,,109300,1,1100,1.02,110000,110700,108600,148187,16227618800,8197500000000,75000000,STK
908,064350,현대로템,22.83,3.08,0.19,064350,KR7064350002,KOSPI,,54400,2,-200,-0.37,54300,55100,53100,2497218,135519821300,5937340739200,109142293,STK
909,079430,현대리바트,,0.43,,079430,KR7079430005,KOSPI,,8740,2,-60,-0.68,8810,8940,8620,150212,1308366250,179478364680,20535282,STK
910,012330,현대모비스,6.0,0.48,2.05,012330,KR7012330007,KOSPI,,220000,1,2000,0.92,220000,224500,220000,154796,34338102300,20458920680000,92995094,STK
911,069960,현대백화점,,0.22,2.82,069960,KR7069960003,KOSPI,,46200,1,50,0.11,46550,47000,46150,30928,1438700050,1081192774200,23402441,STK
912,004560,현대비앤지스틸,,0.46,,004560,KR7004560009,KOSPI,,14900,2,-60,-0.4,15080,15240,14770,54001,810945470,224674283900,15078811,STK
913,004310,현대약품,57.24,1.53,0.72,004310,KR7004310009,KOSPI,,5250,1,120,2.34,5160,5380,4980,1898771,9920827525,168000000000,32000000,STK
914,017800,현대엘리베이,16.76,1.36,9.23,017800,KR7017800004,KOSPI,,43200,1,750,1.77,43000,43900,42450,97823,4219300500,1688791032000,39092385,STK
915,307950,현대오토에버,33.44,2.81,0.89,307950,KR7307950006,KOSPI,,160400,1,9500,6.3,154500,160600,153300,106267,16724186400,4398806712800,27423982,STK
916,011210,현대위아,12.53,0.4,1.65,011210,KR7011210002,KOSPI,,51700,1,400,0.78,51900,52300,51300,61048,3163414800,1405985791100,27195083,STK
917,004020,현대제철,,0.18,3.94,004020,KR7004020004,KOSPI,,25850,2,-100,-0.39,26250,26350,25850,218611,5691767100,3449573542250,133445785,STK
918,005440,현대지에프홀딩스,0.49,0.25,4.46,005440,KR7005440003,KOSPI,,4335,1,35,0.81,4320,4350,4280,118277,510022955,675845144835,155904301,STK
919,005380,현대차,5.94,0.71,4.43,005380,KR7005380001,KOSPI,,255000,1,14000,5.81,248000,256500,246500,1113073,281005390375,53401128705000,209416191,STK
920,005387,현대차2우B,3.9,0.47,6.8,005387,KR7005382007,KOSPI,,168900,1,6100,3.75,165800,168900,165300,125437,21006048000,6039761139900,35759391,STK
921,005389,현대차3우B,3.8,0.46,6.95,005389,KR7005383005,KOSPI,,164400,1,3700,2.3,162700,164700,162200,13218,2163724100,391338417600,2380404,STK
922,005385,현대차우,3.87,0.46,6.83,005385,KR7005381009,KOSPI,,167000,1,5000,3.09,164300,167000,164300,78322,12993901906,3986621996000,23871988,STK
923,001500,현대차증권,7.56,0.26,4.61,001500,KR7001500008,KOSPI,,8550,1,10,0.12,8570,8600,8460,58935,502829740,271142405100,31712562,STK
924,011760,현대코퍼레이션,2.69,0.36,3.02,011760,KR7011760006,KOSPI,,20550,1,450,2.24,20300,20600,20200,39423,804930250,271855251300,13228966,STK
925,227840,현대코퍼레이션홀딩스,3.16,0.32,4.68,227840,KR7227840006,KOSPI,,10600,3,0,0.0,10700,10700,10370,8398,88415280,96468861600,9100836,STK
926,126560,현대퓨처넷,,0.59,2.56,126560,KR7126560002,KOSPI,,3945,1,120,3.14,3825,3960,3785,293555,1141080050,434750618025,110202945,STK
927,001450,현대해상,4.15,0.49,5.8,001450,KR7001450006,KOSPI,,34300,2,-650,-1.86,35400,35550,33600,595372,20417848650,3066420000000,89400000,STK
928,057050,현대홈쇼핑,3.63,0.26,5.88,057050,KR7057050007,KOSPI,,47000,1,550,1.18,46550,47750,46250,14593,684932350,564000000000,12000000,STK
929,093240,형지엘리트,13.78,0.46,,093240,KR7093240000,KOSPI,,1064,2,-4,-0.37,1068,1228,1059,1640689,1872546436,33148705072,31154798,STK
930,003010,혜인,6.47,0.49,3.21,003010,KR7003010006,KOSPI,,5240,2,-120,-2.24,5370,5390,5230,107733,569151230,66614794280,12712747,STK
931,111110,호전실업,5.03,0.39,4.41,111110,KR7111110003,KOSPI,,6800,2,-200,-2.86,7030,7030,6800,5784,39704900,66299891200,9749984,STK
932,008770,호텔신라,60.98,2.96,0.42,008770,KR7008770000,KOSPI,,47500,3,0,0.0,48100,48250,47450,79724,3802402600,1864285747500,39248121,STK
933,008775,호텔신라우,49.23,2.39,0.65,008775,KR7008771008,KOSPI,,38850,1,600,1.57,38800,39250,38200,5767,222745900,29210499150,751879,STK
934,378850,화승알앤에이,2.92,0.64,1.23,378850,KR7378850002,KOSPI,,4020,1,35,0.88,4045,4100,4005,111089,449546150,76354364460,18993623,STK
935,241590,화승엔터프라이즈,,1.03,0.57,241590,KR7241590009,KOSPI,,8130,1,160,2.01,8160,8250,8030,374086,3043169390,492590813880,60589276,STK
936,006060,화승인더,,0.6,4.78,006060,KR7006060008,KOSPI,,4005,1,85,2.17,3920,4030,3920,151234,602745650,221556600000,55320000,STK
937,013520,화승코퍼레이션,6.75,0.49,2.49,013520,KR7013520002,KOSPI,,2010,2,-10,-0.5,2045,2050,1982,290051,581365552,100603016520,50051252,STK
938,010690,화신,4.51,0.7,1.56,010690,KR7010690006,KOSPI,,9620,2,-160,-1.64,9920,10010,9500,368265,3568129900,335934344200,34920410,STK
939,133820,화인베스틸,,0.55,,133820,KR7133820001,KOSPI,,998,1,7,0.71,991,1021,985,32133,32041627,30764465764,30826118,STK
940,010660,화천기계,21.21,0.47,1.0,010660,KR7010660009,KOSPI,,2965,1,60,2.07,2920,2980,2890,172145,506059120,65230000000,22000000,STK
941,000850,화천기공,9.49,0.18,4.55,000850,KR7000850008,KOSPI,,28700,2,-100,-0.35,28550,29050,28450,2572,73550200,63140000000,2200000,STK
942,016580,환인제약,8.12,0.58,2.16,016580,KR7016580003,KOSPI,,13850,2,-210,-1.49,14070,14100,13770,62726,873588230,257610969500,18600070,STK
943,032560,황금에스티,5.54,0.27,2.6,032560,KR7032560005,KOSPI,,5760,3,0,0.0,5780,5800,5680,6587,37873590,97920000000,17000000,STK
944,004800,효성,93.01,0.36,6.83,004800,KR7004800009,KOSPI,,43300,1,300,0.7,43450,43450,42700,21801,940344700,724859623100,16740407,STK
945,094280,효성ITX,11.28,2.2,5.78,094280,KR7094280005,KOSPI,,12900,2,-10,-0.08,12960,12970,12870,7980,103108700,149100780000,11558200,STK
946,298040,효성중공업,22.67,2.73,0.76,298040,KR7298040007,KOSPI,,311500,1,24500,8.54,296500,315500,295000,102545,31474091000,2904596702000,9324548,STK
947,298050,효성첨단소재,41.83,1.76,2.31,298050,KR7298050006,KOSPI,,291000,1,500,0.17,295000,299000,291000,11264,3307059500,1303664868000,4479948,STK
948,298020,효성티앤씨,9.56,0.91,3.46,298020,KR7298020009,KOSPI,,293500,3,0,0.0,301000,301500,293000,11521,3409455000,1270174667000,4327682,STK
949,298000,효성화학,,93.11,,298000,KR7298000001,KOSPI,,45600,2,-400,-0.87,47300,47300,45000,5457,250850850,172906581600,3791811,STK
950,093370,후성,,2.03,,093370,KR7093370005,KOSPI,,6350,3,0,0.0,6480,6500,6350,188962,1212540710,681071345500,107255330,STK
951,081660,휠라홀딩스,47.13,1.25,2.66,081660,KR7081660003,KOSPI,,42550,1,100,0.24,43650,43750,42400,159777,6844836810,2557077949450,60095839,STK
952,005870,휴니드,5.55,0.64,,005870,KR7005870001,KOSPI,,8380,2,-640,-7.1,8610,8660,8130,1629838,13624819300,118292205700,14116015,STK
953,079980,휴비스,,0.4,,079980,KR7079980009,KOSPI,,3175,2,-10,-0.31,3185,3210,3135,44800,142306290,109537500000,34500000,STK
954,005010,휴스틸,5.01,0.2,6.25,005010,KR7005010004,KOSPI,,4005,2,-40,-0.99,4030,4035,3980,395142,1581255200,225033240375,56188075,STK
955,000540,흥국화재,1.01,0.25,,000540,KR7000540005,KOSPI,,4000,2,-105,-2.56,4085,4105,3920,171133,686085560,256970580000,64242645,STK
956,000545,흥국화재우,1.47,0.36,,000545,KR7000541003,KOSPI,,6060,2,-80,-1.3,6080,6100,6020,903,5473440,4654080000,768000,STK
957,003280,흥아해운,16.13,2.89,,003280,KR7003280005,KOSPI,,2375,2,-200,-7.77,2505,2520,2370,12294591,29786804890,571009135125,240424899,STK
