,ticker,symbol,per,pbr,dividend_yield
467,000075,삼양홀딩스우,2.66,0.21,6.51
468,003720,삼영,7.3,1.94,0.51
469,002810,삼영무역,4.22,0.44,4.57
470,005680,삼영전자,14.83,0.33,3.37
471,023000,삼원강재,6.07,0.42,4.3
472,004380,삼익THK,208.08,1.12,0.92
473,002450,삼익악기,13.5,0.3,4.75
474,004440,삼일씨엔에스,191.74,0.21,
475,000520,삼일제약,,1.34,
476,009770,삼정펄프,2.44,0.27,3.85
477,005500,삼진제약,19.96,0.94,4.21
478,004690,삼천리,3.28,0.19,3.32
479,010960,삼호개발,3.99,0.32,5.71
480,004450,삼화왕관,,0.52,3.82
481,009470,삼화전기,25.43,3.94,0.6
482,011230,삼화전자,,2.68,
483,001820,삼화콘덴서,18.59,1.65,1.25
484,000390,삼화페인트,9.84,0.56,5.56
485,001290,상상인증권,,0.22,
486,041650,상신브레이크,3.62,0.32,3.09
487,075180,새론오토모티브,15.27,0.32,3.57
488,007540,샘표,21.59,0.5,0.41
489,248170,샘표식품,12.28,0.56,0.69
490,007860,서연,1.51,0.24,1.97
491,200880,서연이화,2.76,0.45,1.28
492,017390,서울가스,10.12,0.2,4.11
493,004410,서울식품,,2.49,
494,004415,서울식품우,,19.66,
495,021050,서원,1.19,0.41,
496,008490,서흥,117.53,0.46,0.55
497,007610,선도전기,,1.74,
498,136490,선진,13.79,0.39,1.41
499,014910,성문전자,,0.72,
500,014915,성문전자우,,3.1,
501,003080,성보화학,75.42,0.39,4.97
502,004980,성신양회,2.72,0.4,4.13
503,004985,성신양회우,3.77,0.55,3.4
504,011300,성안머티리얼스,,2.4,
505,000180,성창기업지주,,0.18,
506,002420,세기상사,,1.19,
507,004360,세방,3.51,0.28,2.15
508,004365,세방우,1.97,0.15,3.9
509,004490,세방전지,8.6,0.99,0.67
510,001430,세아베스틸지주,7.96,0.36,6.21
511,306200,세아제강,2.2,0.33,6.73
512,003030,세아제강지주,4.55,0.35,1.19
513,019440,세아특수강,381.67,0.36,7.28
514,058650,세아홀딩스,8.41,0.18,3.95
515,013000,세우글로벌,12.09,0.72,
516,091090,세원이앤씨,,0.37,
517,021820,세원정공,2.65,0.14,1.25
