Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
036030,KR7036030005,케이티알파,KOSDAQ,우량기업부,4225,1,40,0.96,4215,4310,4215,32667,139038575,207106470675,49019283,KSQ
203400,KR7203400007,에이비온,KOSDAQ,기술성장기업부,8200,2,-60,-0.73,8300,8410,8160,35074,289969020,206843130400,25224772,KSQ
045390,KR7045390002,대아티아이,KOSDAQ,우량기업부,2935,3,0,0.0,2965,2965,2905,195393,574049770,206839361495,70473377,KSQ
032300,KR7032300006,한국파마,KOSDAQ,중견기업부,18760,1,1010,5.69,17980,18760,17700,109926,2125350280,204609710760,10906701,KSQ
038290,KR7038290003,마크로젠,KOSDAQ,중견기업부,18860,2,-50,-0.26,18990,19150,18600,82350,1550980340,204468804000,10841400,KSQ
293780,KR7293780003,압타바이오,KOSDAQ,기술성장기업부,9160,2,-40,-0.43,9220,9490,9050,147378,1358623890,204257612560,22298866,KSQ
109610,KR7109610006,에스와이,KOSDAQ,중견기업부,4160,1,40,0.97,4160,4200,4105,411230,1708857050,203454784000,48907400,KSQ
042370,KR7042370007,비츠로테크,KOSDAQ,우량기업부,7710,1,60,0.78,7720,7760,7630,110208,846788170,202002192750,26200025,KSQ
194700,KR7194700001,노바렉스,KOSDAQ,우량기업부,10740,1,70,0.66,10820,10960,10670,172209,1864347570,201427067520,18754848,KSQ
084990,KR7084990001,헬릭스미스,KOSDAQ,기술성장기업부,4360,1,55,1.28,4315,4435,4305,153421,670966820,200964594920,46092797,KSQ
